Era / Aion / Age,Galactic time,Earth date,First leap year,First century year,in-game century year,First 400 year,In game 400-year,Major event
BE,BE.3,3044,,,,,,-
,BE.2,3045,,,,,,-
,BE.1-06-06,3046-06-06,,,,,,The date human domination began
E1,E1.1-01-01,3047-01-01,E1.2,3100,E1.54,3200,E1.154,"Start of human dominated U.F, also called the Human Empire, Human Intergalactic Era etc."
,E1.2475-08-16,5521-08-16,,,,,,First HyperSpace Eclipse
O1,O1.1-01-01,5522-01-01,O1.3,5600,O1.79 (is leap year),5600,O1.79,Official start of First Hyperspace Eclipse era
,O1.250-05-26,5771-05-26,,,,,,"Hyperspace reinvented, signals end of era."
E2,E2.1-01-01,5772-01-01,E2.1,5800,E2.29,6000,E2.229,"Official first day of new aion A2, the second age."
,E2.641-03-03,6412-03-03,,,,,,Second hyperspace eclipse begins
O2,O2.1-01-01,6413-01-01,O2.4,6500,O2.88,6800,E3.262,"Official start of new hyperspace eclipse era, O2."
,O2.126-11-03,6538-11-03,,,,,,Hyperspace reinvented
E3,E3.1-01-01,6539-01-01,E3.2,6600,E3.62,6800,E3.262,"Official start of Current Era, E3"
,E3.326-07-19,6864-07-19,,,,,,Current date translated to in-game. A simple convention to track time in-game.
